Team Name,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO
#WhyNot,0.489,0.776,749,9091,3856,1951,531,376,1000
Harkirat's Team,0.485,0.746,848,8894,3467,1880,488,365,1015
Change Ballin 4 Good,0.481,0.789,816,9662,3852,1984,674,499,1091
Big Memes No Dreams,0.48,0.757,947,10916,3890,2306,665,429,1336
Ball134,0.477,0.773,1049,10414,4083,2052,548,372,1381
This is the Dagger,0.477,0.796,867,10612,3943,2209,683,426,1343
Freaks and Greeks,0.475,0.758,989,10029,3454,2274,547,438,1318
Larry OB Anunoby,0.465,0.815,1000,10827,4218,2177,491,481,1250
MakeKawhiGreatAgain,0.465,0.845,969,9147,2829,2360,487,165,1202
This isn't Hockey?,0.448,0.781,1106,9726,3646,2589,602,410,1346
Secretly Vinson,0.448,0.791,988,9506,3048,2117,543,335,1296
FVV JR,0.445,0.824,1045,8435,3048,1681,564,417,890
